"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1834","User login with wrong email or password:  ","LMS system","Wed Nov 12 14:16:56 UTC 2025","passed","Wed Nov 12 14:16:58 UTC 2025","Authorization","Authentication","",""
"","1793","Registration with correct email, username and password","LMS system","Wed Nov 12 14:17:14 UTC 2025","passed","Wed Nov 12 14:17:16 UTC 2025","Registration","Authentication","",""
"","1494","Navigation from login page to registration page","LMS system","Wed Nov 12 14:17:12 UTC 2025","passed","Wed Nov 12 14:17:13 UTC 2025","Authorization","Authentication","",""
"","3103","Edit course","LMS system","Wed Nov 12 14:17:20 UTC 2025","passed","Wed Nov 12 14:17:24 UTC 2025","Courses","Courses","",""
"","1526","User login with wrong email or password: user.name@gmail.com","LMS system","Wed Nov 12 14:17:03 UTC 2025","passed","Wed Nov 12 14:17:04 UTC 2025","Authorization","Authentication","",""
"","2223","Create course","LMS system","Wed Nov 12 14:17:18 UTC 2025","passed","Wed Nov 12 14:17:20 UTC 2025","Courses","Courses","",""
"","1972","Check displaying of dashboard page","LMS system","Wed Nov 12 14:17:24 UTC 2025","passed","Wed Nov 12 14:17:26 UTC 2025","Dashboard","Dashboard","",""
"","1714","Registration with correct email, username and password","LMS system","Wed Nov 12 14:17:12 UTC 2025","passed","Wed Nov 12 14:17:14 UTC 2025","Registration","Authentication","",""
"","6898","User login with correct email and password","LMS system","Wed Nov 12 14:17:05 UTC 2025","passed","Wed Nov 12 14:17:12 UTC 2025","Authorization","Authentication","",""
"","2434","Create course","LMS system","Wed Nov 12 14:17:20 UTC 2025","passed","Wed Nov 12 14:17:23 UTC 2025","Courses","Courses","",""
"","3214","Edit course","LMS system","Wed Nov 12 14:17:24 UTC 2025","passed","Wed Nov 12 14:17:27 UTC 2025","Courses","Courses","",""
"","1469","Check displaying of empty courses list","LMS system","Wed Nov 12 14:17:16 UTC 2025","passed","Wed Nov 12 14:17:18 UTC 2025","Courses","Courses","",""
"","1613","Navigation from login page to registration page","LMS system","Wed Nov 12 14:17:11 UTC 2025","passed","Wed Nov 12 14:17:12 UTC 2025","Authorization","Authentication","",""
"","1337","User login with wrong email or password: user.name@gmail.com","LMS system","Wed Nov 12 14:16:58 UTC 2025","passed","Wed Nov 12 14:17:00 UTC 2025","Authorization","Authentication","",""
"","1532","User login with wrong email or password:  ","LMS system","Wed Nov 12 14:17:05 UTC 2025","passed","Wed Nov 12 14:17:06 UTC 2025","Authorization","Authentication","",""
"","1802","User login with wrong email or password: user.name@gmail.com","LMS system","Wed Nov 12 14:16:56 UTC 2025","passed","Wed Nov 12 14:16:58 UTC 2025","Authorization","Authentication","",""
"","1513","Check displaying of dashboard page","LMS system","Wed Nov 12 14:17:27 UTC 2025","passed","Wed Nov 12 14:17:29 UTC 2025","Dashboard","Dashboard","",""
"","1586","User login with wrong email or password: user.name@gmail.com","LMS system","Wed Nov 12 14:17:03 UTC 2025","passed","Wed Nov 12 14:17:04 UTC 2025","Authorization","Authentication","",""
"","3280","User login with correct email and password","LMS system","Wed Nov 12 14:17:07 UTC 2025","passed","Wed Nov 12 14:17:10 UTC 2025","Authorization","Authentication","",""
"","1317","Check displaying of empty courses list","LMS system","Wed Nov 12 14:17:18 UTC 2025","passed","Wed Nov 12 14:17:19 UTC 2025","Courses","Courses","",""
